09:21:54.944626 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3137509263:3137509351, ack 1695189999, win 913, options [nop,nop,TS val 424905307 ecr 40267142], length 88
09:22:16.995639 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 1936:2024, ack 1, win 913, options [nop,nop,TS val 424927362 ecr 40272654], length 88
09:22:17.997470 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2024:2112, ack 1, win 913, options [nop,nop,TS val 424928364 ecr 40272905], length 88
09:22:19.000511 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2112:2200, ack 1, win 913, options [nop,nop,TS val 424929367 ecr 40273155], length 88
09:22:20.003333 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2200:2288, ack 1, win 913, options [nop,nop,TS val 424930370 ecr 40273406], length 88
09:22:21.006916 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2288:2376, ack 1, win 913, options [nop,nop,TS val 424931374 ecr 40273657], length 88
09:22:22.008709 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2376:2464, ack 1, win 913, options [nop,nop,TS val 424932376 ecr 40273908], length 88
09:22:23.010562 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2464:2552, ack 1, win 913, options [nop,nop,TS val 424933378 ecr 40274158], length 88
09:22:24.012329 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2552:2640, ack 1, win 913, options [nop,nop,TS val 424934380 ecr 40274409], length 88
09:22:25.015209 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2640:2728, ack 1, win 913, options [nop,nop,TS val 424935383 ecr 40274659], length 88
09:22:26.016960 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2728:2816, ack 1, win 913, options [nop,nop,TS val 424936385 ecr 40274910], length 88
09:22:27.018941 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2816:2904, ack 1, win 913, options [nop,nop,TS val 424937387 ecr 40275160], length 88
09:22:28.020622 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2904:2992, ack 1, win 913, options [nop,nop,TS val 424938389 ecr 40275411], length 88
09:22:29.022383 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 2992:3080, ack 1, win 913, options [nop,nop,TS val 424939391 ecr 40275661], length 88
09:22:30.024199 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3080:3168, ack 1, win 913, options [nop,nop,TS val 424940393 ecr 40275912], length 88
09:22:31.026235 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3168:3256, ack 1, win 913, options [nop,nop,TS val 424941395 ecr 40276162], length 88
09:22:32.028965 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3256:3344, ack 1, win 913, options [nop,nop,TS val 424942398 ecr 40276412], length 88
09:22:33.031764 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3344:3432, ack 1, win 913, options [nop,nop,TS val 424943401 ecr 40276663], length 88
09:22:34.036281 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3432:3520, ack 1, win 913, options [nop,nop,TS val 424944406 ecr 40276914], length 88
09:22:35.038360 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3520:3608, ack 1, win 913, options [nop,nop,TS val 424945408 ecr 40277165], length 88
09:22:36.040173 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3608:3696, ack 1, win 913, options [nop,nop,TS val 424946410 ecr 40277416], length 88
09:22:37.042024 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3696:3784, ack 1, win 913, options [nop,nop,TS val 424947412 ecr 40277666], length 88
09:22:38.043906 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3784:3872, ack 1, win 913, options [nop,nop,TS val 424948414 ecr 40277916], length 88
09:22:39.045688 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3872:3960, ack 1, win 913, options [nop,nop,TS val 424949416 ecr 40278167], length 88
09:22:40.047399 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 3960:4048, ack 1, win 913, options [nop,nop,TS val 424950418 ecr 40278417], length 88
09:22:41.049393 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4048:4136, ack 1, win 913, options [nop,nop,TS val 424951420 ecr 40278668], length 88
09:22:42.051121 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4136:4224, ack 1, win 913, options [nop,nop,TS val 424952422 ecr 40278918], length 88
09:22:43.054063 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4224:4312, ack 1, win 913, options [nop,nop,TS val 424953425 ecr 40279169], length 88
09:22:44.056067 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4312:4400, ack 1, win 913, options [nop,nop,TS val 424954427 ecr 40279419], length 88
09:22:45.058580 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4400:4488, ack 1, win 913, options [nop,nop,TS val 424955430 ecr 40279670], length 88
09:22:46.060415 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4488:4576, ack 1, win 913, options [nop,nop,TS val 424956432 ecr 40279921], length 88
09:22:47.062204 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4576:4664, ack 1, win 913, options [nop,nop,TS val 424957434 ecr 40280171], length 88
09:22:48.064189 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4664:4752, ack 1, win 913, options [nop,nop,TS val 424958436 ecr 40280421], length 88
09:22:49.065834 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4752:4840, ack 1, win 913, options [nop,nop,TS val 424959438 ecr 40280672], length 88
09:22:50.067626 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4840:4928, ack 1, win 913, options [nop,nop,TS val 424960440 ecr 40280922], length 88
09:22:51.069424 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 4928:5016, ack 1, win 913, options [nop,nop,TS val 424961442 ecr 40281173], length 88
09:22:52.072356 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5016:5104, ack 1, win 913, options [nop,nop,TS val 424962445 ecr 40281423], length 88
09:22:53.074233 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5104:5192, ack 1, win 913, options [nop,nop,TS val 424963447 ecr 40281674], length 88
09:22:54.075952 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5192:5280, ack 1, win 913, options [nop,nop,TS val 424964449 ecr 40281924], length 88
09:22:55.077753 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5280:5368, ack 1, win 913, options [nop,nop,TS val 424965451 ecr 40282175], length 88
09:22:56.079529 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5368:5456, ack 1, win 913, options [nop,nop,TS val 424966453 ecr 40282425], length 88
09:22:57.081333 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5456:5544, ack 1, win 913, options [nop,nop,TS val 424967455 ecr 40282676], length 88
09:22:58.083177 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5544:5632, ack 1, win 913, options [nop,nop,TS val 424968457 ecr 40282926], length 88
09:22:59.085013 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5632:5720, ack 1, win 913, options [nop,nop,TS val 424969459 ecr 40283177], length 88
09:23:00.086798 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5720:5808, ack 1, win 913, options [nop,nop,TS val 424970461 ecr 40283427], length 88
09:23:01.088768 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5808:5896, ack 1, win 913, options [nop,nop,TS val 424971463 ecr 40283678], length 88
09:23:02.091741 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5896:5984, ack 1, win 913, options [nop,nop,TS val 424972466 ecr 40283928], length 88
09:23:03.094364 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 5984:6072, ack 1, win 913, options [nop,nop,TS val 424973469 ecr 40284179], length 88
09:23:04.096284 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6072:6160, ack 1, win 913, options [nop,nop,TS val 424974471 ecr 40284430], length 88
09:23:05.098043 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6160:6248, ack 1, win 913, options [nop,nop,TS val 424975473 ecr 40284680], length 88
09:23:06.099897 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6248:6336, ack 1, win 913, options [nop,nop,TS val 424976475 ecr 40284930], length 88
09:23:07.101535 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6336:6424, ack 1, win 913, options [nop,nop,TS val 424977477 ecr 40285181], length 88
09:23:08.103372 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6424:6512, ack 1, win 913, options [nop,nop,TS val 424978479 ecr 40285431], length 88
09:23:09.105222 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6512:6600, ack 1, win 913, options [nop,nop,TS val 424979481 ecr 40285682], length 88
09:23:10.107083 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6600:6688, ack 1, win 913, options [nop,nop,TS val 424980483 ecr 40285932], length 88
09:23:11.109918 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6688:6776, ack 1, win 913, options [nop,nop,TS val 424981486 ecr 40286183], length 88
09:23:12.111703 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6776:6864, ack 1, win 913, options [nop,nop,TS val 424982488 ecr 40286433], length 88
09:23:13.113417 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6864:6952, ack 1, win 913, options [nop,nop,TS val 424983490 ecr 40286684], length 88
09:23:14.115316 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 6952:7040, ack 1, win 913, options [nop,nop,TS val 424984492 ecr 40286934], length 88
09:23:15.117139 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7040:7128, ack 1, win 913, options [nop,nop,TS val 424985494 ecr 40287185], length 88
09:23:16.118918 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7128:7216, ack 1, win 913, options [nop,nop,TS val 424986496 ecr 40287435], length 88
09:23:17.120735 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7216:7304, ack 1, win 913, options [nop,nop,TS val 424987498 ecr 40287686], length 88
09:23:18.122570 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7304:7392, ack 1, win 913, options [nop,nop,TS val 424988500 ecr 40287936], length 88
09:23:19.124417 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7392:7480, ack 1, win 913, options [nop,nop,TS val 424989502 ecr 40288187], length 88
09:23:20.126243 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7480:7568, ack 1, win 913, options [nop,nop,TS val 424990504 ecr 40288437], length 88
09:23:21.129195 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7568:7656, ack 1, win 913, options [nop,nop,TS val 424991507 ecr 40288687], length 88
09:23:22.130979 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7656:7744, ack 1, win 913, options [nop,nop,TS val 424992509 ecr 40288938], length 88
09:23:23.132720 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7744:7832, ack 1, win 913, options [nop,nop,TS val 424993511 ecr 40289189], length 88
09:23:24.134574 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7832:7920, ack 1, win 913, options [nop,nop,TS val 424994513 ecr 40289439], length 88
09:23:25.136393 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 7920:8008, ack 1, win 913, options [nop,nop,TS val 424995515 ecr 40289690], length 88
09:23:26.138209 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8008:8096, ack 1, win 913, options [nop,nop,TS val 424996517 ecr 40289940], length 88
09:23:27.140054 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8096:8184, ack 1, win 913, options [nop,nop,TS val 424997519 ecr 40290190], length 88
09:23:28.141864 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8184:8272, ack 1, win 913, options [nop,nop,TS val 424998521 ecr 40290441], length 88
09:23:29.143731 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8272:8360, ack 1, win 913, options [nop,nop,TS val 424999523 ecr 40290691], length 88
09:23:30.145590 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8360:8448, ack 1, win 913, options [nop,nop,TS val 425000525 ecr 40290942], length 88
09:23:31.148528 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8448:8536, ack 1, win 913, options [nop,nop,TS val 425001528 ecr 40291192], length 88
09:23:32.150258 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8536:8624, ack 1, win 913, options [nop,nop,TS val 425002530 ecr 40291443], length 88
09:23:33.152284 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8624:8712, ack 1, win 913, options [nop,nop,TS val 425003532 ecr 40291693], length 88
09:23:34.154015 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8712:8800, ack 1, win 913, options [nop,nop,TS val 425004534 ecr 40291944], length 88
09:23:35.155827 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8800:8888, ack 1, win 913, options [nop,nop,TS val 425005536 ecr 40292194], length 88
09:23:36.158553 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8888:8976, ack 1, win 913, options [nop,nop,TS val 425006539 ecr 40292445], length 88
09:23:37.161348 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 8976:9064, ack 1, win 913, options [nop,nop,TS val 425007542 ecr 40292696], length 88
09:23:38.163302 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9064:9152, ack 1, win 913, options [nop,nop,TS val 425008544 ecr 40292946], length 88
09:23:39.165074 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9152:9240, ack 1, win 913, options [nop,nop,TS val 425009546 ecr 40293197], length 88
09:23:40.167031 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9240:9328, ack 1, win 913, options [nop,nop,TS val 425010548 ecr 40293447], length 88
09:23:41.169722 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9328:9416, ack 1, win 913, options [nop,nop,TS val 425011551 ecr 40293698], length 88
09:23:42.172509 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9416:9504, ack 1, win 913, options [nop,nop,TS val 425012554 ecr 40293948], length 88
09:23:43.175288 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9504:9592, ack 1, win 913, options [nop,nop,TS val 425013557 ecr 40294199], length 88
09:23:44.177178 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9592:9680, ack 1, win 913, options [nop,nop,TS val 425014559 ecr 40294450], length 88
09:23:45.178999 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9680:9768, ack 1, win 913, options [nop,nop,TS val 425015561 ecr 40294700], length 88
09:23:46.181812 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9768:9856, ack 1, win 913, options [nop,nop,TS val 425016564 ecr 40294951], length 88
09:23:47.184661 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9856:9944, ack 1, win 913, options [nop,nop,TS val 425017567 ecr 40295201], length 88
09:23:48.186464 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 9944:10032, ack 1, win 913, options [nop,nop,TS val 425018569 ecr 40295452], length 88
09:23:49.188298 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10032:10120, ack 1, win 913, options [nop,nop,TS val 425019571 ecr 40295703], length 88
09:23:50.191105 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10120:10208, ack 1, win 913, options [nop,nop,TS val 425020574 ecr 40295953], length 88
09:23:51.192940 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10208:10296, ack 1, win 913, options [nop,nop,TS val 425021576 ecr 40296204], length 88
09:23:52.195760 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10296:10384, ack 1, win 913, options [nop,nop,TS val 425022579 ecr 40296454], length 88
09:23:53.197548 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10384:10472, ack 1, win 913, options [nop,nop,TS val 425023581 ecr 40296705], length 88
09:23:54.199364 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10472:10560, ack 1, win 913, options [nop,nop,TS val 425024583 ecr 40296955], length 88
09:23:55.201249 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10560:10648, ack 1, win 913, options [nop,nop,TS val 425025585 ecr 40297206], length 88
09:23:56.204061 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10648:10736, ack 1, win 913, options [nop,nop,TS val 425026588 ecr 40297456], length 88
09:23:57.206858 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10736:10824, ack 1, win 913, options [nop,nop,TS val 425027591 ecr 40297707], length 88
09:23:58.208636 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10824:10912, ack 1, win 913, options [nop,nop,TS val 425028593 ecr 40297958], length 88
09:23:59.210518 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 10912:11000, ack 1, win 913, options [nop,nop,TS val 425029595 ecr 40298208], length 88
09:24:00.213323 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11000:11088, ack 1, win 913, options [nop,nop,TS val 425030598 ecr 40298459], length 88
09:24:01.216145 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11088:11176, ack 1, win 913, options [nop,nop,TS val 425031601 ecr 40298709], length 88
09:24:02.217947 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11176:11264, ack 1, win 913, options [nop,nop,TS val 425032603 ecr 40298960], length 88
09:24:03.219761 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11264:11352, ack 1, win 913, options [nop,nop,TS val 425033605 ecr 40299210], length 88
09:24:04.221670 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11352:11440, ack 1, win 913, options [nop,nop,TS val 425034607 ecr 40299461], length 88
09:24:05.224698 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11440:11528, ack 1, win 913, options [nop,nop,TS val 425035610 ecr 40299711], length 88
09:24:06.227324 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11528:11616, ack 1, win 913, options [nop,nop,TS val 425036613 ecr 40299962], length 88
09:24:07.230119 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11616:11704, ack 1, win 913, options [nop,nop,TS val 425037616 ecr 40300213], length 88
09:24:08.232963 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11704:11792, ack 1, win 913, options [nop,nop,TS val 425038619 ecr 40300463], length 88
09:24:09.234925 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11792:11880, ack 1, win 913, options [nop,nop,TS val 425039621 ecr 40300714], length 88
09:24:10.237663 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11880:11968, ack 1, win 913, options [nop,nop,TS val 425040624 ecr 40300965], length 88
09:24:11.239824 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 11968:12026, ack 1, win 913, options [nop,nop,TS val 425041626 ecr 40301215], length 58
09:24:11.241354 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12026:12114, ack 1, win 913, options [nop,nop,TS val 425041628 ecr 40301466], length 88
09:24:12.244375 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12114:12202, ack 1, win 913, options [nop,nop,TS val 425042631 ecr 40301466], length 88
09:24:13.247087 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12202:12290, ack 1, win 913, options [nop,nop,TS val 425043634 ecr 40301717], length 88
09:24:14.249025 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12290:12378, ack 1, win 913, options [nop,nop,TS val 425044636 ecr 40301968], length 88
09:24:15.250760 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12378:12466, ack 1, win 913, options [nop,nop,TS val 425045638 ecr 40302218], length 88
09:24:16.252571 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12466:12554, ack 1, win 913, options [nop,nop,TS val 425046640 ecr 40302469], length 88
09:24:17.255428 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12554:12642, ack 1, win 913, options [nop,nop,TS val 425047643 ecr 40302719], length 88
09:24:18.257204 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12642:12730, ack 1, win 913, options [nop,nop,TS val 425048645 ecr 40302970], length 88
09:24:19.259060 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12730:12818, ack 1, win 913, options [nop,nop,TS val 425049647 ecr 40303220], length 88
09:24:20.261009 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12818:12906, ack 1, win 913, options [nop,nop,TS val 425050649 ecr 40303471], length 88
09:24:21.263704 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12906:12994, ack 1, win 913, options [nop,nop,TS val 425051652 ecr 40303721], length 88
09:24:22.266514 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 12994:13082, ack 1, win 913, options [nop,nop,TS val 425052655 ecr 40303972], length 88
09:24:23.268370 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13082:13170, ack 1, win 913, options [nop,nop,TS val 425053657 ecr 40304223], length 88
09:24:24.270227 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13170:13258, ack 1, win 913, options [nop,nop,TS val 425054659 ecr 40304473], length 88
09:24:25.272017 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13258:13346, ack 1, win 913, options [nop,nop,TS val 425055661 ecr 40304723], length 88
09:24:26.274856 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13346:13434, ack 1, win 913, options [nop,nop,TS val 425056664 ecr 40304974], length 88
09:24:27.277644 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13434:13522, ack 1, win 913, options [nop,nop,TS val 425057667 ecr 40305225], length 88
09:24:28.280454 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13522:13610, ack 1, win 913, options [nop,nop,TS val 425058670 ecr 40305475], length 88
09:24:29.283306 IP Broadcom.Home.37869 > 192.168.1.3.9888: Flags [P.], seq 13610:13698, ack 1, win 913, options [nop,nop,TS val 425059673 ecr 40305726], length 88
